ener_f  theta_0  d_theta  beta_0  chi2
185.6  38.756028145915785  29.02754140041832  0.00030429284083928  30.591428999500913
185.7  38.75659686220071  29.02759670434414  0.00030472953076571404  30.59588486231871
185.8  38.75758560296521  29.0278437286212  0.0003053038131886629  30.59843569982241
185.9  38.75761821185205  29.027865207200104  0.0003053046532191643  30.609535839360262
186.0  38.759236948996154  29.028309939342805  0.00030619450319235343  30.603996698285577
186.1  38.76006328739694  29.028544775809586  0.0003066387958034032  30.606453242788444
186.2  38.76098839080818  29.028851757045373  0.000307081494024174  30.608932647985853
186.3  38.76180849759991  29.029071741965687  0.000307538538583169  30.61233289385415
186.4  38.76286873096007  29.029384357233713  0.0003080937964989078  30.61465293056678
186.5  38.762901344291905  29.029405836952577  0.00030809464420593005  30.626409766972632
186.6  38.764752105539586  29.02996695405308  0.0003090465988111534  30.62023102393818
186.7  38.76503952431968  29.03006349199036  0.0003091827816373535  30.627093588120008
186.8  38.766013715159254  29.03022893013756  0.00030984538466634635  30.631636765913832
186.9  38.76679669127512  29.030359785504245  0.0003103781569709321  30.630694103188617
187.0  38.767440645340216  29.030474304983972  0.00031080889544736023  30.634775676709985
187.1  38.76847677060424  29.0307667210745  0.00031136814733000466  30.63780419785816
187.2  38.76849108169901  29.030774793640663  0.0003113687106584882  30.65120640924039
187.3  38.76974640474603  29.030966281826075  0.0003122497101255909  30.64621043552887
187.4  38.77054009029647  29.031109256745943  0.0003127780148397592  30.649833302008798
187.5  38.771232331527926  29.031272352129296  0.0003131911833739945  30.65344586885054
187.6  38.77229632988167  29.03159136066097  0.00031374200310260904  30.65634831054461
187.7  38.77226500409766  29.03156665117772  0.0003137438673842015  30.670056980538554
187.8  38.773654925055105  29.03187483876339  0.0003145974334014491  30.665314824218168
187.9  38.77447438158772  29.03202591309645  0.000315139223101021  30.668619121418445
188.0  38.77503324624176  29.03208661027303  0.00031556059292544685  30.673396103498895
188.1  38.77573533232906  29.032172072117785  0.0003160797537401306  30.678163086720893
188.2  38.77571947400343  29.032178688178533  0.0003160563953449196  30.695601155240414
188.3  38.77705848334615  29.032396260010408  0.00031697687218058216  30.68745426761659
188.4  38.77792454151328  29.032584697665847  0.00031751438815777694  30.691186294483078
188.5  38.77817799253421  29.03269849906549  0.0003175959122889146  30.705729641178607
188.6  38.77940958881186  29.032882296510994  0.00031846437302806554  30.700327251079713
188.7  38.78017814857056  29.03299493930332  0.00031900853427864814  30.70441925879428
188.8  38.78018825994435  29.03299966584528  0.00031901103374388644  30.718399110334985
188.9  38.781664998294886  29.033359970605026  0.000319877232802905  30.71276351744071
189.0  38.78231163008513  29.033462267491906  0.00032032598887486903  30.718171804974627
189.1  38.783094792534385  29.033596184393136  0.0003208550423162786  30.722641938337997
189.2  38.78381536171692  29.03366807654103  0.00032140671556216913  30.72761538785267
189.3  38.7838863840704  29.033719079480363  0.00032140644754877245  30.74306668097695
189.4  38.78567388546438  29.03421352200721  0.00032238309667497947  30.734924237214532
189.5  38.78565947230343  29.034201127941255  0.00032238356071131996  30.749724885181376
189.6  38.78697005813376  29.034333017551543  0.0003233866239124964  30.746095761960525
189.7  38.78689542735719  29.03427941698368  0.00032338584255395226  30.76032766556139
189.8  38.78834923158211  29.03461824177719  0.00032425834333438947  30.75535750956171
189.9  38.7883721350502  29.0346325210379  0.0003242591908035246  30.773499202181704
190.0  38.790197179696534  29.0350634596182  0.000325348952002516  30.764435628217026
190.1  38.79008261605864  29.034979353450694  0.0003253503027445888  30.778015605734993
190.2  38.79135240929742  29.035187245068446  0.000326221815966069  30.775861440294214
190.3  38.7919999395469  29.03531631196496  0.00032663749900014693  30.783067677638208
190.4  38.79273826898003  29.035402059941564  0.0003271863335173416  30.78624130954208
190.5  38.79369102401674  29.03560187344596  0.0003277853800143708  30.791300709061993
190.6  38.793591274994014  29.03552814044601  0.0003277864062321386  30.80585387805299
190.7  38.79525824476703  29.035925345416157  0.00032877638735785626  30.80153430047398
190.8  38.79522306011265  29.03589870710349  0.0003287766859094444  30.815444592942626
190.9  38.79662382254365  29.036172409861933  0.00032968229752050935  30.81385777770778
191.0  38.79668714499745  29.03621777966351  0.0003296818199693672  30.82859430831595
191.1  38.79809793969373  29.036508358256256  0.00033057562061485687  30.822681899257194
191.2  38.798443019555606  29.03653182193421  0.00033085397749211946  30.83474209149025
191.3  38.79963270219098  29.036774240412086  0.00033160946223069015  30.833531950401138
191.4  38.80057639148018  29.03696800790827  0.0003322079568479501  30.83853273690267
191.5  38.80064462382602  29.037014129372047  0.0003322092203898182  30.855468144688626
191.6  38.801942368170764  29.037136410779684  0.00033321244070003305  30.851039220828426
191.7  38.80187824713897  29.037090866681375  0.0003332103400428668  30.86627037860367
191.8  38.80314241331597  29.037297651565357  0.00033407822651341634  30.863602779521187
191.9  38.80316478737167  29.037311902087378  0.00033407860668864715  30.883855680021764
192.0  38.804397968097554  29.037447858974396  0.0003350068867088102  30.877237791577027
